1|0
1|0
1|0
1|0
1|0
1|1
1|1
1|1
2|1
2|1
2|1
2|1
2|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|1
1|3
2|3
2|4
1|4
2|6
1|6
2|6
1|7
2|9
1|9
2|11
1|12
2|13
1|13
2|14
1|16
2|16
2|18
1|19
1|20
2|21
2|23
1|23
2|25
2|26
2|27
2|28
2|28
2|29
2|30
2|32
2|33
2|33
1|33
2|35
1|38
1|39
1|40
1|41
1|42
1|44
1|45
1|46
1|47
1|48
1|3
2|4
2|4
2|5
2|7
2|7
2|8
2|9
2|9
2|11
2|11
2|13
2|14
2|15
1|15
2|15
2|16
2|18
2|18
1|19
2|19
2|21
1|21
2|22
1|24
2|25
1|27
2|27
1|27
2|27
1|28
2|28
1|31
2|31
1|31
1|35
1|36
1|37
1|37
1|40
1|41
1|41
1|42
1|44
1|45
1|45
1|47
1|48
1|49
